TimeStamp,CarHumidity,CarTemperature,OutsideHumidity,OutsideTemperature
2021-06-27 23:54:30,9.8,141.44,21.4,114.98
2021-06-27 23:55:00,9.8,141.62,22.0,114.8
2021-06-27 23:55:30,9.9,141.44,19.9,115.16
2021-06-27 23:56:00,10.3,141.98,20.3,115.16
2021-06-27 23:56:30,10.0,141.98,18.0,114.62
2021-06-27 23:57:00,9.5,141.62,19.6,115.16
2021-06-27 23:57:30,9.6,140.9,,
2021-06-27 23:58:00,9.9,141.08,21.1,115.34
2021-06-27 23:58:30,10.1,141.08,,
2021-06-27 23:59:00,10.1,141.08,,
2021-06-27 23:59:30,10.0,141.26,18.4,114.62
2021-06-28 00:00:00,9.7,141.26,18.9,114.08
2021-06-28 00:00:30,,141.26,19.4,114.26
2021-06-28 00:01:30,9.8,141.26,19.8,114.44
2021-06-28 00:02:00,9.9,141.26,19.8,114.44
2021-06-28 00:02:30,9.9,141.08,,
2021-06-28 00:03:00,10.0,141.08,19.5,114.44
2021-06-28 00:03:30,10.0,141.08,,
2021-06-28 00:04:00,9.9,141.44,19.0,
2021-06-28 00:04:30,9.8,141.08,,114.8
2021-06-28 00:05:00,10.0,141.08,18.6,114.8
2021-06-28 00:05:30,9.9,140.9,,
2021-06-28 00:06:00,9.9,140.9,19.5,114.98
2021-06-28 00:06:30,9.9,141.26,,
2021-06-28 00:07:00,9.9,141.26,,
2021-06-28 00:07:30,10.0,141.26,20.8,114.62
2021-06-28 00:08:30,9.9,141.26,19.3,114.26
2021-06-28 00:09:00,9.9,141.26,19.3,114.26
2021-06-28 00:09:30,10.0,141.26,18.4,113.36
2021-06-28 00:10:00,9.9,141.26,,
2021-06-28 00:10:30,9.7,141.62,19.4,113.36
2021-06-28 00:11:00,9.8,141.62,20.1,113.72
2021-06-28 00:11:30,9.8,141.62,18.9,113.36
2021-06-28 00:12:00,9.7,141.44,,
2021-06-28 00:12:30,10.0,141.98,19.5,113.54
2021-06-28 00:13:00,9.7,141.44,19.6,113.72
2021-06-28 00:13:30,10.1,141.8,19.8,114.08
2021-06-28 00:14:00,10.1,142.16,,
2021-06-28 00:14:30,9.9,142.16,19.2,114.08
2021-06-28 00:15:30,10.0,141.98,19.6,114.08
2021-06-28 00:16:00,10.1,141.8,19.5,113.9
2021-06-28 00:16:30,10.1,141.8,19.4,113.36
2021-06-28 00:17:00,9.7,141.62,19.9,113.18
2021-06-28 00:17:30,9.8,141.62,20.3,
2021-06-28 00:18:00,9.8,141.62,,113.36
2021-06-28 00:18:30,9.8,141.62,,
2021-06-28 00:19:00,9.8,141.62,,
2021-06-28 00:19:30,9.8,141.62,19.1,113.36
2021-06-28 00:20:00,9.8,141.62,18.7,113.36
2021-06-28 00:20:30,9.7,141.44,19.4,113.18
2021-06-28 00:21:00,9.6,141.62,19.0,112.46
2021-06-28 00:21:30,9.6,141.26,,
2021-06-28 00:22:00,,141.26,,
2021-06-28 00:23:00,9.7,141.08,19.9,113.18
2021-06-28 00:23:30,9.8,140.72,20.4,113.36
2021-06-28 00:24:00,9.8,140.9,19.5,113.54
2021-06-28 00:24:30,9.7,140.54,18.6,113.9
2021-06-28 00:25:00,9.6,140.18,,
2021-06-28 00:25:30,9.9,140.18,19.2,113.9
2021-06-28 00:26:00,9.8,140.54,19.6,113.9
2021-06-28 00:26:30,9.8,140.0,20.1,113.9
2021-06-28 00:27:00,10.1,140.0,18.8,114.26
2021-06-28 00:27:30,10.0,140.18,18.9,114.26
2021-06-28 00:28:00,10.1,140.54,18.9,114.26
2021-06-28 00:28:30,10.1,140.9,,
2021-06-28 00:29:00,10.1,140.9,20.6,114.98
2021-06-28 00:30:00,10.1,141.08,,
2021-06-28 00:30:30,10.1,141.62,19.4,114.26
2021-06-28 00:31:00,10.4,141.98,20.0,114.26
2021-06-28 00:31:30,10.3,142.16,,
2021-06-28 00:32:00,10.1,142.34,20.0,113.9
2021-06-28 00:32:30,10.0,142.7,19.9,113.9
2021-06-28 00:33:00,9.7,142.88,,
2021-06-28 00:33:30,9.7,142.88,19.3,114.26
2021-06-28 00:34:00,9.7,143.42,19.8,114.44
2021-06-28 00:34:30,9.3,143.42,20.0,114.26
2021-06-28 00:35:00,9.3,143.42,18.6,114.44
2021-06-28 00:35:30,9.7,143.96,18.8,114.8
2021-06-28 00:36:00,9.6,144.86,19.1,114.98
2021-06-28 00:36:30,9.4,145.04,19.4,114.98
2021-06-28 00:37:30,9.6,145.58,,114.44
2021-06-28 00:38:00,9.4,145.76,18.0,114.26
2021-06-28 00:38:30,9.3,146.12,20.1,114.26
2021-06-28 00:39:00,9.5,147.38,20.4,114.08
2021-06-28 00:39:30,9.3,148.1,20.0,113.54
2021-06-28 00:40:00,9.2,149.9,18.6,113.54
2021-06-28 00:40:30,8.9,151.7,18.4,113.72
2021-06-28 00:41:00,9.1,152.96,18.7,114.08
2021-06-28 00:41:30,9.1,152.96,19.4,113.9
2021-06-28 00:42:00,8.6,155.48,19.6,113.72
2021-06-28 00:42:30,8.4,157.1,,
2021-06-28 00:43:00,7.8,157.64,,
2021-06-28 00:43:30,8.0,158.0,17.9,113.36
2021-06-28 00:44:30,7.8,158.18,18.6,113.9
2021-06-28 00:45:00,7.6,159.08,,
2021-06-28 00:45:30,7.8,159.98,,
2021-06-28 00:46:00,7.5,160.52,19.4,114.26
2021-06-28 00:46:30,7.3,160.7,19.4,114.44
2021-06-28 00:47:00,7.5,162.32,,
2021-06-28 00:47:30,7.3,162.86,19.4,115.88
2021-06-28 00:48:00,7.3,162.86,20.1,115.52
2021-06-28 00:48:30,7.5,163.4,20.0,114.98
2021-06-28 00:49:00,7.3,164.48,19.9,114.8
2021-06-28 00:49:30,7.0,164.3,18.9,114.62
2021-06-28 00:50:30,6.9,164.66,19.7,114.62
2021-06-28 00:51:00,6.8,164.84,,
2021-06-28 00:51:30,6.8,164.66,20.1,114.98
2021-06-28 00:52:00,7.3,165.56,19.4,114.98
2021-06-28 00:52:30,7.3,165.38,19.7,115.16
2021-06-28 00:53:00,7.3,165.38,,
2021-06-28 00:53:30,7.3,166.1,20.7,114.98
2021-06-28 00:54:00,7.2,166.1,19.9,115.16
2021-06-28 00:54:30,7.1,165.2,18.7,115.34
2021-06-28 00:55:00,7.2,165.56,,
2021-06-28 00:56:00,7.2,165.56,19.1,114.62
2021-06-28 00:56:30,7.2,165.56,18.3,114.62
2021-06-28 00:57:00,7.1,163.76,,
2021-06-28 00:57:30,6.8,163.22,,
2021-06-28 00:58:00,7.0,162.86,,
2021-06-28 00:58:30,7.1,162.5,19.0,114.44
2021-06-28 00:59:00,6.9,161.42,19.7,114.98
2021-06-28 00:59:30,7.1,160.16,,
2021-06-28 01:00:00,7.3,159.98,19.7,114.62
2021-06-28 01:00:30,7.3,159.98,,
2021-06-28 01:01:30,7.4,158.72,19.9,114.26
2021-06-28 01:02:00,7.2,157.64,20.0,114.08
2021-06-28 01:02:30,7.2,157.64,19.3,114.08
2021-06-28 01:03:00,7.4,156.92,18.6,113.9
2021-06-28 01:03:30,7.5,156.38,18.8,113.54
2021-06-28 01:04:00,7.6,156.74,19.3,113.36
2021-06-28 01:04:30,7.2,155.3,,
2021-06-28 01:05:00,7.5,155.12,19.6,114.08
2021-06-28 01:05:30,7.7,154.76,19.5,114.08
2021-06-28 01:06:00,7.4,153.86,20.2,113.72
2021-06-28 01:07:00,7.9,154.4,20.4,113.36
2021-06-28 01:07:30,7.7,154.04,20.8,113.36
2021-06-28 01:08:00,7.7,153.14,19.5,113.72
2021-06-28 01:08:30,7.4,152.42,18.9,114.08
2021-06-28 01:09:00,7.6,151.7,19.8,114.26
2021-06-28 01:09:30,7.8,150.8,19.6,
2021-06-28 01:10:00,7.8,150.8,,114.98
2021-06-28 01:10:30,8.1,151.34,19.0,115.7
2021-06-28 01:11:00,7.8,150.62,18.7,116.06
2021-06-28 01:11:30,8.1,150.8,17.2,114.98
2021-06-28 01:12:30,8.1,151.34,20.3,114.26
2021-06-28 01:13:00,8.1,151.16,19.1,113.72
2021-06-28 01:13:30,7.8,150.44,,
2021-06-28 01:14:00,8.2,150.8,,
2021-06-28 01:14:30,8.2,151.34,18.4,113.9
